Captura,Web,Evento,Titulo,Categoria,Novedad,Ubicación,Localidad,Precio,Descuento,Fechas,Fecha_inicio,Fecha_fin,Duracion,Idioma,Publico,Puntuación,Valoración,Opiniones
07/04/2019 16:52,Atrapalo,circo,"Circo Alegría - Circo Sobre Agua, en Huelva",Circo,,Parque Comercial Marismas del Polvorín,Huelva,8,,,2019/04/07,2019/04/07,90 minutos,Castellano,Familiar,7.8,Bueno,103 opiniones
07/04/2019 16:53,Atrapalo,teatro-danza,Dani Delacámara - Yo maté al rey León,Monólogos,,Teatro Reina Victoria,Madrid,10,4,,2019/04/14,2019/04/14,90 minutos,Castellano,Adultos,9.5,Extraordinario,269 opiniones
07/04/2019 16:53,Atrapalo,teatro-danza,El Drac Màgic - Teatro para bebés,Teatro,,Sala Fènix,Barcelona,"6,50",,14 abr al 28 abr,2019/04/14,2019/04/28,35 minutos,Catalán,Infantil,9.7,Extraordinario,11 opiniones
07/04/2019 16:59,Atrapalo,teatro-danza,Atrapado x la magia,Magia,,Teatros Luchana,Madrid,8,6,19 abr al 28 abr,2019/04/19,2019/04/28,NA,,Para todas las edades,9.6,Extraordinario,25 opiniones
07/04/2019 16:59,Atrapalo,teatro-danza,"Oh, ¡Mami!",Comedia,,Teatro Borrás,Barcelona,19,5,07 abr al 26 may,2019/04/07,2019/05/26,90 minutos,Catalán,Adultos,,,
07/04/2019 16:59,Atrapalo,teatro-danza,Santi Rodríguez - Infarto,Monólogos,,Club Capitol,Barcelona,20,,,2019/04/30,2019/04/30,NA,,Adultos,,,
07/04/2019 16:59,Atrapalo,teatro-danza,Perfectos desconocidos,Teatro,,Teatro Reina Victoria,Madrid,"12,60","5,40",07 abr al 23 jun,2019/04/07,2019/06/23,90 minutos,Castellano,Adultos,9.0,Extraordinario,572 opiniones
07/04/2019 16:59,Atrapalo,teatro-danza,Monólogos de humor - Chocita del Loro Gran vía,Monólogos,,Teatro Chocita del Loro - Senator,Madrid,12,6,07 abr al 30 abr,2019/04/07,2019/04/30,1 hora y 30 minutos,Castellano,Adultos,8.7,Excelente,11543 opiniones
07/04/2019 16:59,Atrapalo,teatro-danza,"Nada es imposible - Mago Pop, en Madrid",Magia,,Teatro Rialto Madrid,Madrid,"20,83","2,32",07 abr al 23 jun,2019/04/07,2019/06/23,90 minutos,Castellano,Para todas las edades,9.1,Extraordinario,1849 opiniones
07/04/2019 16:59,Atrapalo,teatro-danza,Impro Show,Impro,,Teatreneu,Barcelona,12,8,07 abr al 31 may,2019/04/07,2019/05/31,80 minutos,Castellano,Adultos,8.6,Excelente,5288 opiniones
